work_key	canonical	htid_count	pd_count	record_count	matched_oclc	oclc_tried	sample_htids
OL38694476W	0	0	0	0		1	
OL38695603W	0	0	0	0		1	
OL38699016W	0	0	0	0		1	
OL38699234W	0	0	0	0		1	
OL38699738W	0	0	0	0		1	
OL38700377W	0	1	0	1	12210518	1	iau.31858006807477
OL38700W	0	1	1	1	13229474	10	mdp.39015047659654
OL38702197W	0	0	0	0		1	
OL38703W	0	1	0	1	1382685	8	mdp.39015012420462
OL38704W	0	0	0	0		3	
OL38705058W	0	2	2	1	35923500	1	hvd.32044021175153|mdp.39015027383903
OL38706589W	0	0	0	0		1	
OL38707072W	0	0	0	0		1	
OL3870771W	0	2	2	1	5248787	4	osu.32435018564542|nnc1.1002153572
OL3870774W	0	1	1	1	10077514	2	nyp.33433074812318
OL38707948W	0	0	0	0		1	
OL38709950W	0	2	2	1	18053867	1	hvd.32044080245400|nyp.33433069265217
OL38710010W	0	5	5	1	1662780	1	mdp.39015066528764|umn.31951002280473s|mdp.39015066528756
OL38710928W	0	0	0	0		1	
OL38712591W	0	1	1	1	5093002	3	mdp.39015063948965
OL38712599W	0	1	1	1	7158662	1	njp.32101065853507
OL38712601W	0	0	0	0		1	
OL38712765W	0	0	0	0		1	
OL38712771W	0	1	1	1	18954076	2	njp.32101067173631
OL38712786W	0	1	1	1	17792985	1	mdp.39015014656543
OL38713581W	0	1	0	1	10678787	2	mdp.39015012919950
OL38713790W	0	1	0	1	1353470	1	coo.31924029597469
OL38720352W	0	1	1	1	1862273	3	ucbk.ark:/28722/h2k931v5p
OL38723376W	0	0	0	0		1	
OL38728381W	0	1	0	1	5902085	1	iau.31858014374932
OL38728435W	0	1	0	1	3664621	1	mdp.39015003938639
OL38728517W	0	0	0	0		1	
OL38728527W	0	5	5	1	43496979	1	nnc1.0111708131|nnc1.0040976017|nnc1.0113307762
OL38729020W	0	0	0	0		1	
OL38729532W	0	0	0	0		1	
OL38729932W	0	0	0	0		1	
OL38730700W	0	1	1	1	2650091	1	hvd.hn1bus
OL38730923W	0	0	0	0		1	
OL38731051W	0	7	7	1	274452	1	uc2.ark:/13960/t3st7f68m|hvd.32044080914658|hvd.hn2379
OL38731647W	0	0	0	0		1	
OL38731768W	0	3	3	1	6020424	1	hvd.hxdfya|nnc1.cu53315774|umn.31951002103950o
OL38732307W	0	0	0	0		1	
OL38732325W	0	3	3	1	16741090	2	mdp.39015030845641|uc2.ark:/13960/t5m903904|uc1.$b248237
OL38732878W	0	0	0	0		1	
OL38733821W	0	1	1	1	9322147	4	ufl.31262056958621
OL38733902W	0	2	2	1	11833135	1	mdp.39015059375926|nyp.33433111597898
OL38733995W	0	0	0	0		1	
OL38734069W	0	1	1	1	43803975	2	uc1.$b588554
OL38735019W	0	0	0	0		1	
OL38735225W	0	0	0	0		1	
OL38735415W	0	1	1	1	20737419	3	uc1.$b598178
OL38735666W	0	0	0	0		3	
OL38735921W	0	3	3	1	6552426	2	uc1.32106001984563|uc1.$b284296|mdp.39015003681643
OL38736122W	0	8	8	1	272708	1	dul1.ark:/13960/t3jw91p86|uc2.ark:/13960/t9x05xw9q|hvd.32044011671831
OL38738265W	0	1	1	1	4725105	1	hvd.hn1h3i
OL38738291W	0	2	2	1	228700346	1	hvd.hw1xu7|nyp.33433076022601
OL38738929W	0	1	1	1	44523925	1	nnc1.1002205599
OL38739595W	0	2	0	1	972104	1	mdp.39015031308037|uc1.b4088643
OL38739907W	0	0	0	0		1	
OL38739952W	0	1	1	1	1836437	1	uc1.$b312728
OL38740739W	0	0	0	0		1	
OL38740W	0	2	2	1	10434647	10	uc2.ark:/13960/t8cf9tz8n|uc1.b3582599
OL38741923W	0	0	0	0		1	
OL38742997W	0	1	0	1	2653551	2	uc1.31822005440565
OL38743172W	0	1	0	1	612183	1	uc1.$b183783
OL38743285W	0	0	0	0		1	
OL38743925W	0	1	1	1	1017253	2	nyp.33433076048192
OL38743993W	0	0	0	0		1	
OL38744225W	0	0	0	0		1	
OL38744506W	0	0	0	0		1	
OL38744676W	0	2	2	1	276196	1	hvd.32044050950179|uc1.b4104310
OL38744710W	0	0	0	0		1	
