work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids
OL4072532W	1	1	The outdoor girls at Rainbow Lake	1913	0.89	1.0	nyp.33433082344916
OL4072555W	1	1	The moving picture girls at Oak Farm, or, Queer happenings while taking rural plays	1914	0.89	1.0	nyp.33433082344882
OL4072557W	1	1	The Outdoor Girls in army service, or, Doing their bit for the soldier boys	1918	0.87	1.0	nyp.33433082333216
OL4072558W	1	1	The outdoor girls in a winter camp	1913	0.88	1.0	nyp.33433082343264
OL4072559W	1	1	The outdoor girls in Florida	1913	0.81	1.0	nyp.33433082333190
OL4072565W	1	1	The story of a candy rabbit	1920	0.87	1.0	nyp.33433082354196
OL4072566W	1	1	The story of a plush bear	1921	0.86	1.0	nyp.33433082354220
OL4072575W	1	1	The outdoor girls at the Hostess House ;	1919	0.89	0.999	uc2.ark+=13960=t50g3m16x
OL4072578W	2	1	The Bobbsey twins at home	1916	0.89	1.0	nyp.33433082332051|uva.x000238415
OL4072580W	1	1	The outdoor girls in a motor car;	1913	0.83	1.0	nyp.33433082344890
